ORDER_ID,DATE,DAY_NAME,Order_status,SALES
6383272,"October 1, 2023",Sun,Delivered,174.75
6385534,"October 1, 2023",Sun,Delivered,227
6390316,"October 1, 2023",Sun,Delivered,"9,568.75"
6385761,"October 1, 2023",Sun,Delivered,381
6390730,"October 1, 2023",Sun,Delivered,285.75
6388102,"October 1, 2023",Sun,Delivered,395
6386754,"October 1, 2023",Sun,Delivered,198
6384203,"October 1, 2023",Sun,Delivered,342.75
6388921,"October 1, 2023",Sun,Delivered,591.25
6385308,"October 1, 2023",Sun,Delivered,985
6389357,"October 1, 2023",Sun,Delivered,348.5
6385336,"October 1, 2023",Sun,Delivered,954
6390138,"October 1, 2023",Sun,Delivered,159
6385414,"October 1, 2023",Sun,Delivered,659.5
6387630,"October 1, 2023",Sun,Canceled,74.5
6389238,"October 1, 2023",Sun,Delivered,298
6384440,"October 1, 2023",Sun,Delivered,117.5
6384282,"October 1, 2023",Sun,Delivered,345
6386496,"October 1, 2023",Sun,Delivered,372.5
6384190,"October 1, 2023",Sun,Delivered,510
6386594,"October 1, 2023",Sun,Delivered,954
6383784,"October 1, 2023",Sun,Delivered,168.75
6389473,"October 1, 2023",Sun,Delivered,157.5
6387956,"October 1, 2023",Sun,Delivered,566.25
6390829,"October 1, 2023",Sun,Delivered,33.75
6389491,"October 1, 2023",Sun,Delivered,149
6387183,"October 1, 2023",Sun,Delivered,57.5
6384913,"October 1, 2023",Sun,Delivered,384.75
6390475,"October 1, 2023",Sun,Delivered,118
6386590,"October 1, 2023",Sun,Delivered,67.5
6386041,"October 1, 2023",Sun,Delivered,422
6383942,"October 1, 2023",Sun,Delivered,587
6384793,"October 1, 2023",Sun,Canceled,67.5
6390259,"October 1, 2023",Sun,Delivered,668.88
6385079,"October 1, 2023",Sun,Delivered,563.75
6389467,"October 1, 2023",Sun,Delivered,551
6383709,"October 1, 2023",Sun,Canceled,211.75
6385784,"October 1, 2023",Sun,Delivered,170
6389586,"October 1, 2023",Sun,Delivered,986.5
6384643,"October 1, 2023",Sun,Canceled,117.5
6383733,"October 1, 2023",Sun,Delivered,488.75
6383929,"October 1, 2023",Sun,Delivered,753.25
6385382,"October 1, 2023",Sun,Delivered,114.25
6390283,"October 1, 2023",Sun,Delivered,462.25
6390346,"October 1, 2023",Sun,Delivered,97.5
6389721,"October 1, 2023",Sun,Delivered,246.25
6383549,"October 1, 2023",Sun,Delivered,342.75
6389722,"October 1, 2023",Sun,Delivered,149
6387908,"October 1, 2023",Sun,Delivered,571.25
6387804,"October 1, 2023",Sun,Delivered,198
6383463,"October 1, 2023",Sun,Delivered,174.75
6385213,"October 1, 2023",Sun,Delivered,344
6385945,"October 1, 2023",Sun,Delivered,"1,173.75"
6386371,"October 1, 2023",Sun,Delivered,795
6390314,"October 1, 2023",Sun,Delivered,338.5
6390145,"October 1, 2023",Sun,Delivered,224.5
6388574,"October 1, 2023",Sun,Delivered,113.25
6386651,"October 1, 2023",Sun,Delivered,100
6386519,"October 1, 2023",Sun,Delivered,237
6386213,"October 1, 2023",Sun,Delivered,118.25
6390367,"October 1, 2023",Sun,Delivered,163.25
6390512,"October 1, 2023",Sun,Delivered,310.5
6386910,"October 1, 2023",Sun,Delivered,492.5
6387854,"October 1, 2023",Sun,Delivered,211
6385332,"October 1, 2023",Sun,Delivered,318
6383636,"October 1, 2023",Sun,Delivered,795
6389781,"October 1, 2023",Sun,Delivered,291
6387976,"October 1, 2023",Sun,Delivered,57.5
6384228,"October 1, 2023",Sun,Canceled,185
6385353,"October 1, 2023",Sun,Delivered,228.5
