 PRODUCT_SALES_ORDER_ID , SALES_ORDER_ID ,PRODUCT_ID,SALES
" 67,706,135 "," 6,405,175 ",9468,146
" 67,706,832 "," 6,405,453 ",7558,358
" 67,708,729 "," 6,405,771 ",152,341.5
" 67,710,017 "," 6,405,954 ",2438,765.5
" 67,710,833 "," 6,406,067 ",9289,673
" 67,711,563 "," 6,406,168 ",415,226.75
" 67,713,453 "," 6,406,437 ",2778,116.5
" 67,715,124 "," 6,406,661 ",9468,146
" 67,665,174 "," 6,399,232 ",2778,335.25
" 67,718,853 "," 6,407,120 ",417,168
" 67,719,361 "," 6,407,179 ",2438,32.25
" 67,720,488 "," 6,407,325 ",2778,233.5
" 67,720,650 "," 6,407,341 ",9468,365
" 67,721,721 "," 6,407,491 ",2438,127
" 67,721,951 "," 6,407,521 ",1080,237
" 67,704,136 "," 6,404,963 ",2778,467
" 67,626,909 "," 6,393,276 ",361,171
" 67,723,270 "," 6,407,712 ",2778,572.5
" 67,726,743 "," 6,408,197 ",3575,219.5
" 67,724,541 "," 6,407,892 ",2438,381
" 67,730,952 "," 6,408,743 ",7558,358
" 67,731,060 "," 6,408,828 ",583,640.5
" 67,732,750 "," 6,409,091 ",1070,121.5
" 67,733,109 "," 6,409,140 ",1087,1848.75
" 67,733,228 "," 6,409,155 ",415,227.25
" 67,734,520 "," 6,409,351 ",152,683
" 67,736,443 "," 6,409,651 ",2778,115
" 67,737,419 "," 6,409,795 ",2438,260
" 67,589,845 "," 6,387,734 ",1070,786.75
" 67,599,701 "," 6,389,189 ",2438,381
" 67,667,436 "," 6,399,554 ",2778,121.75
" 67,676,907 "," 6,401,037 ",142,168
" 67,677,515 "," 6,398,066 ",9081,1173.75
" 67,626,563 "," 6,393,215 ",2778,236
" 67,683,798 "," 6,393,464 ",9046,157.25
" 67,685,720 "," 6,402,306 ",9081,3521.25
" 67,647,960 "," 6,396,558 ",8120,100
" 67,687,493 "," 6,402,573 ",152,163.25
" 67,647,710 "," 6,396,525 ",9081,495
" 67,698,473 "," 6,404,194 ",2438,64.5
" 67,699,199 "," 6,404,294 ",142,336
" 67,708,075 "," 6,405,664 ",2438,193.5
" 67,708,316 "," 6,405,705 ",9468,73
" 67,711,066 "," 6,406,098 ",168,115
" 67,711,176 "," 6,406,115 ",583,211.75
" 67,721,210 "," 6,407,428 ",415,454
" 67,687,007 "," 6,402,500 ",583,212.5
" 67,725,147 "," 6,407,968 ",3900,367
" 67,685,038 "," 6,402,219 ",2778,233.5
" 67,729,536 "," 6,408,652 ",9468,596
" 67,731,469 "," 6,408,896 ",3900,367
" 67,731,937 "," 6,408,965 ",2438,385.5
" 67,736,387 "," 6,409,643 ",2438,195
" 67,734,124 "," 6,409,288 ",8120,100
" 67,723,193 "," 6,407,698 ",583,213.75
" 67,694,558 "," 6,403,660 ",361,168
" 67,706,697 "," 6,405,423 ",8120,310.5
" 67,738,943 "," 6,410,027 ",2438,385.5
" 67,739,167 "," 6,410,058 ",9081,1173.75
" 67,739,180 "," 6,410,061 ",2438,65
" 67,740,329 "," 6,410,249 ",361,168
" 67,688,552 "," 6,402,735 ",2778,343.5
" 67,742,578 "," 6,410,569 ",8120,200
" 67,666,323 "," 6,398,817 ",2778,243.5
" 67,746,166 "," 6,411,113 ",583,855
" 67,706,091 "," 6,405,313 ",361,504
" 67,746,926 "," 6,411,236 ",9081,643.5
" 67,747,722 "," 6,411,354 ",1070,119.25
" 67,748,085 "," 6,411,411 ",152,167.25
" 67,749,510 "," 6,406,201 ",2438,385.5
" 67,751,603 "," 6,406,263 ",1087,253
" 67,751,691 "," 6,411,945 ",583,427.5
" 67,686,842 "," 6,402,479 ",152,163.25
" 67,752,334 "," 6,412,028 ",2778,351.75
" 67,752,331 "," 6,412,028 ",9468,74.25
" 67,753,861 "," 6,412,241 ",1070,787.5
" 67,754,747 "," 6,412,378 ",8120,100
" 67,756,339 "," 6,412,632 ",2438,130
" 67,759,089 "," 6,413,004 ",583,427.5
" 67,760,156 "," 6,413,136 ",415,227.25
" 67,715,623 "," 6,406,728 ",2778,116.75
